agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
Q-learning,0,0,-28.90000000000021,-0.08500000000000062,340.0,340.0
Q-learning,0,1,-78.80000000000072,-0.09072727272727366,890.0,550.0
Q-learning,0,2,-140.5000000000012,-0.09236526946107858,1558.0,668.0
Q-learning,0,3,-147.10000000000116,-0.056410256410256196,1675.0,117.0
Q-learning,0,4,-228.30000000000052,-0.09409038238702129,2538.0,863.0
Q-learning,0,5,-243.60000000000053,-0.0750000000000001,2742.0,204.0
Q-learning,0,6,-266.80000000000064,-0.0819787985865729,3025.0,283.0
Q-learning,0,7,-301.70000000000095,-0.08725000000000074,3425.0,400.0
Q-learning,0,8,-340.5000000000013,-0.08838268792710786,3864.0,439.0
Q-learning,0,9,-353.5000000000013,-0.07182320441988943,4045.0,181.0
Q-learning,0,10,-406.60000000000184,-0.09123711340206281,4627.0,582.0
Q-learning,0,11,-418.4000000000018,-0.06982248520710041,4796.0,169.0
Q-learning,0,12,-459.9000000000022,-0.08905579399141715,5262.0,466.0
Q-learning,0,13,-468.6000000000022,-0.06304347826086933,5400.0,138.0
Q-learning,0,14,-512.1000000000026,-0.08950617283950704,5886.0,486.0
Q-learning,0,15,-531.1000000000028,-0.07883817427385921,6127.0,241.0
Q-learning,0,16,-532.4000000000027,-0.0203124999999999,6191.0,64.0
Q-learning,0,17,-544.2000000000027,-0.06982248520710041,6360.0,169.0
Q-learning,0,18,-581.000000000003,-0.08782816229117023,6779.0,419.0
Q-learning,0,19,-591.1000000000029,-0.06644736842105238,6931.0,152.0
Q-learning,0,20,-608.6000000000029,-0.07743362831858429,7157.0,226.0
Q-learning,0,21,-629.200000000003,-0.08015564202334667,7414.0,257.0
Q-learning,0,22,-649.5000000000031,-0.07992125984252003,7668.0,254.0
Q-learning,0,23,-656.6000000000031,-0.058196721311475186,7790.0,122.0
Q-learning,0,24,-671.7000000000031,-0.07475247524752483,7992.0,202.0
Q-learning,0,25,-682.800000000003,-0.06851851851851827,8154.0,162.0
Q-learning,0,26,-701.0000000000031,-0.07811158798283288,8387.0,233.0
Q-learning,0,27,-705.400000000003,-0.046315789473684026,8482.0,95.0
Q-learning,0,28,-728.3000000000031,-0.08178571428571474,8762.0,280.0
Q-learning,0,29,-749.0000000000032,-0.08023255813953525,9020.0,258.0
Q-learning,0,30,-758.2000000000031,-0.0643356643356641,9163.0,143.0
Q-learning,0,31,-761.900000000003,-0.04204545454545438,9251.0,88.0
Q-learning,0,32,-780.5000000000031,-0.07848101265822813,9488.0,237.0
Q-learning,0,33,-788.700000000003,-0.061654135338345635,9621.0,133.0
Q-learning,0,34,-800.000000000003,-0.06890243902439001,9785.0,164.0
Q-learning,0,35,-803.3000000000029,-0.039285714285714125,9869.0,84.0
Q-learning,0,36,-813.8000000000029,-0.06730769230769205,10025.0,156.0
Q-learning,0,37,-825.3000000000029,-0.06927710843373473,10191.0,166.0
Q-learning,0,38,-837.3000000000029,-0.07017543859649106,10362.0,171.0
Q-learning,0,39,-848.9000000000028,-0.06946107784431117,10529.0,167.0
Q-learning,0,40,-860.0000000000027,-0.06851851851851827,10691.0,162.0
Q-learning,0,41,-869.3000000000027,-0.06458333333333309,10835.0,144.0
Q-learning,0,42,-875.4000000000027,-0.05446428571428551,10947.0,112.0
Q-learning,0,43,-880.1000000000026,-0.0479591836734692,11045.0,98.0
Q-learning,0,44,-886.3000000000026,-0.05486725663716793,11158.0,113.0
Q-learning,0,45,-886.7000000000025,-0.007272727272727215,11213.0,55.0
Q-learning,0,46,-903.3000000000026,-0.07649769585253473,11430.0,217.0
Q-learning,0,47,-913.5000000000025,-0.06666666666666642,11583.0,153.0
Q-learning,0,48,-921.2000000000024,-0.06015624999999977,11711.0,128.0
Q-learning,0,49,-933.4000000000024,-0.07052023121387269,11884.0,173.0
Q-learning,0,50,-935.0000000000024,-0.023880597014925262,11951.0,67.0
Q-learning,0,51,-938.5000000000024,-0.04069767441860449,12037.0,86.0
Q-learning,0,52,-951.6000000000024,-0.0719780219780219,12219.0,182.0
Q-learning,0,53,-955.7000000000024,-0.04456521739130417,12311.0,92.0
Q-learning,0,54,-960.5000000000024,-0.0484848484848483,12410.0,99.0
Q-learning,0,55,-965.1000000000024,-0.047422680412370945,12507.0,97.0
Q-learning,0,56,-969.8000000000023,-0.0479591836734692,12605.0,98.0
Q-learning,0,57,-978.2000000000023,-0.06222222222222199,12740.0,135.0
Q-learning,0,58,-984.7000000000023,-0.056034482758620476,12856.0,116.0
Q-learning,0,59,-992.8000000000023,-0.061363636363636134,12988.0,132.0
Q-learning,0,60,-998.9000000000024,-0.05446428571428551,13100.0,112.0
Q-learning,0,61,-1001.7000000000023,-0.03544303797468339,13179.0,79.0
Q-learning,0,62,-1003.6000000000023,-0.02714285714285702,13249.0,70.0
Q-learning,0,63,-1008.6000000000023,-0.04950495049504931,13350.0,101.0
Q-learning,0,64,-1015.7000000000023,-0.058196721311475186,13472.0,122.0
Q-learning,0,65,-1016.8000000000023,-0.017741935483870878,13534.0,62.0
Q-learning,0,66,-1018.2000000000023,-0.021538461538461433,13599.0,65.0
Q-learning,0,67,-1017.8000000000023,0.008510638297872348,13646.0,47.0
Q-learning,0,68,-1021.0000000000023,-0.03855421686746972,13729.0,83.0
Q-learning,0,69,-1033.1000000000022,-0.07034883720930217,13901.0,172.0
Q-learning,0,70,-1041.4000000000021,-0.06194029850746245,14035.0,134.0
Q-learning,0,71,-1048.500000000002,-0.058196721311475186,14157.0,122.0
Q-learning,0,72,-1049.600000000002,-0.017741935483870878,14219.0,62.0
Q-learning,0,73,-1049.400000000002,0.0040816326530612465,14268.0,49.0
Q-learning,0,74,-1053.300000000002,-0.04333333333333316,14358.0,90.0
Q-learning,0,75,-1053.800000000002,-0.008928571428571366,14414.0,56.0
Q-learning,0,76,-1055.100000000002,-0.0203124999999999,14478.0,64.0
Q-learning,0,77,-1055.800000000002,-0.012068965517241306,14536.0,58.0
Q-learning,0,78,-1062.400000000002,-0.056410256410256196,14653.0,117.0
Q-learning,0,79,-1067.2000000000019,-0.0484848484848483,14752.0,99.0
Q-learning,0,80,-1068.7000000000019,-0.02272727272727262,14818.0,66.0
Q-learning,0,81,-1068.900000000002,-0.0037735849056603306,14871.0,53.0
Q-learning,0,82,-1069.300000000002,-0.007272727272727215,14926.0,55.0
Q-learning,0,83,-1073.500000000002,-0.04516129032258047,15019.0,93.0
Q-learning,0,84,-1075.200000000002,-0.024999999999999883,15087.0,68.0
Q-learning,0,85,-1077.9000000000021,-0.03461538461538447,15165.0,78.0
Q-learning,0,86,-1080.8000000000022,-0.03624999999999985,15245.0,80.0
Q-learning,0,87,-1082.8000000000022,-0.028169014084506918,15316.0,71.0
Q-learning,0,88,-1080.3000000000022,0.09615384615384612,15342.0,26.0
Q-learning,0,89,-1081.6000000000022,-0.0203124999999999,15406.0,64.0
Q-learning,0,90,-1086.4000000000021,-0.0484848484848483,15505.0,99.0
Q-learning,0,91,-1089.3000000000022,-0.03624999999999985,15585.0,80.0
Q-learning,0,92,-1090.0000000000023,-0.012068965517241306,15643.0,58.0
Q-learning,0,93,-1089.9000000000024,0.0020000000000000282,15693.0,50.0
Q-learning,0,94,-1095.1000000000024,-0.050485436893203686,15796.0,103.0
Q-learning,0,95,-1093.7000000000023,0.037837837837837784,15833.0,37.0
Q-learning,0,96,-1092.0000000000023,0.049999999999999954,15867.0,34.0
Q-learning,0,97,-1093.8000000000022,-0.02608695652173901,15936.0,69.0
Q-learning,0,98,-1095.8000000000022,-0.028169014084506918,16007.0,71.0
Q-learning,0,99,-1094.2000000000023,0.045714285714285666,16042.0,35.0
Q-learning,1,0,-14.600000000000009,-0.0741116751269036,197.0,197.0
Q-learning,1,1,-92.69999999999956,-0.09387019230769177,1029.0,832.0
Q-learning,1,2,-166.0999999999994,-0.09350318471337557,1814.0,785.0
Q-learning,1,3,-170.99999999999937,-0.04899999999999981,1914.0,100.0
Q-learning,1,4,-227.79999999999998,-0.09176090468497675,2533.0,619.0
Q-learning,1,5,-252.10000000000014,-0.08265306122449029,2827.0,294.0
Q-learning,1,6,-310.80000000000075,-0.09200626959247749,3465.0,638.0
Q-learning,1,7,-329.70000000000084,-0.07875000000000029,3705.0,240.0
Q-learning,1,8,-374.2000000000013,-0.08971774193548475,4201.0,496.0
Q-learning,1,9,-400.20000000000147,-0.08360128617363399,4512.0,311.0
Q-learning,1,10,-428.80000000000166,-0.08486646884273058,4849.0,337.0
Q-learning,1,11,-435.4000000000016,-0.056410256410256196,4966.0,117.0
Q-learning,1,12,-488.80000000000217,-0.09128205128205225,5551.0,585.0
Q-learning,1,13,-497.40000000000214,-0.06277372262773699,5688.0,137.0
Q-learning,1,14,-522.0000000000023,-0.08282828282828333,5985.0,297.0
Q-learning,1,15,-530.2000000000022,-0.061654135338345635,6118.0,133.0
Q-learning,1,16,-545.4000000000023,-0.07487684729064048,6321.0,203.0
Q-learning,1,17,-555.1000000000022,-0.0655405405405403,6469.0,148.0
Q-learning,1,18,-587.5000000000025,-0.0864000000000007,6844.0,375.0
Q-learning,1,19,-605.0000000000025,-0.07743362831858429,7070.0,226.0
Q-learning,1,20,-633.2000000000027,-0.08468468468468529,7403.0,333.0
Q-learning,1,21,-646.1000000000026,-0.07166666666666657,7583.0,180.0
Q-learning,1,22,-657.1000000000026,-0.06832298136645937,7744.0,161.0
Q-learning,1,23,-674.8000000000027,-0.07763157894736865,7972.0,228.0
Q-learning,1,24,-692.9000000000027,-0.0780172413793106,8204.0,232.0
Q-learning,1,25,-702.6000000000026,-0.0655405405405403,8352.0,148.0
Q-learning,1,26,-708.1000000000026,-0.05188679245282999,8458.0,106.0
Q-learning,1,27,-737.7000000000029,-0.085302593659943,8805.0,347.0
Q-learning,1,28,-743.5000000000028,-0.05321100917431172,8914.0,109.0
Q-learning,1,29,-755.5000000000028,-0.07017543859649106,9085.0,171.0
Q-learning,1,30,-769.3000000000028,-0.073015873015873,9274.0,189.0
Q-learning,1,31,-776.3000000000028,-0.05785123966942127,9395.0,121.0
Q-learning,1,32,-786.8000000000028,-0.06730769230769205,9551.0,156.0
Q-learning,1,33,-806.1000000000029,-0.07909836065573801,9795.0,244.0
Q-learning,1,34,-821.9000000000029,-0.07559808612440204,10004.0,209.0
Q-learning,1,35,-829.1000000000029,-0.05853658536585343,10127.0,123.0
Q-learning,1,36,-841.4000000000028,-0.07068965517241366,10301.0,174.0
Q-learning,1,37,-844.9000000000028,-0.04069767441860449,10387.0,86.0
Q-learning,1,38,-855.6000000000028,-0.06772151898734152,10545.0,158.0
Q-learning,1,39,-857.8000000000028,-0.030136986301369732,10618.0,73.0
Q-learning,1,40,-865.5000000000027,-0.06015624999999977,10746.0,128.0
Q-learning,1,41,-878.2000000000027,-0.07134831460674147,10924.0,178.0
Q-learning,1,42,-884.9000000000026,-0.05677966101694894,11042.0,118.0
Q-learning,1,43,-893.0000000000026,-0.061363636363636134,11174.0,132.0
Q-learning,1,44,-912.6000000000026,-0.0793522267206481,11421.0,247.0
Q-learning,1,45,-917.3000000000026,-0.0479591836734692,11519.0,98.0
Q-learning,1,46,-920.9000000000026,-0.04137931034482742,11606.0,87.0
Q-learning,1,47,-929.0000000000026,-0.061363636363636134,11738.0,132.0
Q-learning,1,48,-938.4000000000026,-0.06482758620689631,11883.0,145.0
Q-learning,1,49,-948.0000000000025,-0.06530612244897935,12030.0,147.0
Q-learning,1,50,-960.1000000000025,-0.07034883720930217,12202.0,172.0
Q-learning,1,51,-961.5000000000025,-0.021538461538461433,12267.0,65.0
Q-learning,1,52,-966.6000000000025,-0.0499999999999998,12369.0,102.0
Q-learning,1,53,-972.8000000000025,-0.05486725663716793,12482.0,113.0
Q-learning,1,54,-982.8000000000025,-0.06622516556291366,12633.0,151.0
Q-learning,1,55,-987.5000000000024,-0.0479591836734692,12731.0,98.0
Q-learning,1,56,-993.6000000000024,-0.05446428571428551,12843.0,112.0
Q-learning,1,57,-998.9000000000024,-0.05096153846153827,12947.0,104.0
Q-learning,1,58,-1003.5000000000024,-0.047422680412370945,13044.0,97.0
Q-learning,1,59,-1008.5000000000024,-0.04950495049504931,13145.0,101.0
Q-learning,1,60,-1014.1000000000024,-0.052336448598130636,13252.0,107.0
Q-learning,1,61,-1017.0000000000024,-0.03624999999999985,13332.0,80.0
Q-learning,1,62,-1019.6000000000024,-0.033766233766233625,13409.0,77.0
Q-learning,1,63,-1027.2000000000023,-0.05984251968503914,13536.0,127.0
Q-learning,1,64,-1033.2000000000023,-0.05405405405405385,13647.0,111.0
Q-learning,1,65,-1034.3000000000022,-0.017741935483870878,13709.0,62.0
Q-learning,1,66,-1038.3000000000022,-0.04395604395604378,13800.0,91.0
Q-learning,1,67,-1043.0000000000023,-0.0479591836734692,13898.0,98.0
Q-learning,1,68,-1047.2000000000023,-0.04516129032258047,13991.0,93.0
Q-learning,1,69,-1055.6000000000022,-0.06222222222222199,14126.0,135.0
Q-learning,1,70,-1058.700000000002,-0.037804878048780334,14208.0,82.0
Q-learning,1,71,-1059.6000000000022,-0.014999999999999918,14268.0,60.0
Q-learning,1,72,-1065.200000000002,-0.052336448598130636,14375.0,107.0
Q-learning,1,73,-1067.800000000002,-0.033766233766233625,14452.0,77.0
Q-learning,1,74,-1071.800000000002,-0.04395604395604378,14543.0,91.0
Q-learning,1,75,-1072.100000000002,-0.005555555555555503,14597.0,54.0
Q-learning,1,76,-1073.900000000002,-0.02608695652173901,14666.0,69.0
Q-learning,1,77,-1076.800000000002,-0.03624999999999985,14746.0,80.0
Q-learning,1,78,-1080.400000000002,-0.04137931034482742,14833.0,87.0
Q-learning,1,79,-1082.0000000000018,-0.023880597014925262,14900.0,67.0
Q-learning,1,80,-1090.9000000000017,-0.06357142857142833,15040.0,140.0
Q-learning,1,81,-1089.2000000000016,0.049999999999999954,15074.0,34.0
Q-learning,1,82,-1094.4000000000017,-0.050485436893203686,15177.0,103.0
Q-learning,1,83,-1097.7000000000016,-0.039285714285714125,15261.0,84.0
Q-learning,1,84,-1101.0000000000016,-0.039285714285714125,15345.0,84.0
Q-learning,1,85,-1103.2000000000016,-0.030136986301369732,15418.0,73.0
Q-learning,1,86,-1108.7000000000016,-0.05188679245282999,15524.0,106.0
Q-learning,1,87,-1108.8000000000015,-0.001923076923076882,15576.0,52.0
Q-learning,1,88,-1107.2000000000016,0.045714285714285666,15611.0,35.0
