agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
Q-learning,1,89,-1109.7000000000016,-0.03289473684210512,15687.0,76.0
Q-learning,1,90,-1110.7000000000016,-0.016393442622950734,15748.0,61.0
Q-learning,1,91,-1112.2000000000016,-0.02272727272727262,15814.0,66.0
Q-learning,1,92,-1117.8000000000015,-0.052336448598130636,15921.0,107.0
Q-learning,1,93,-1117.7000000000016,0.0020000000000000282,15971.0,50.0
Q-learning,1,94,-1117.1000000000017,0.013333333333333326,16016.0,45.0
Q-learning,1,95,-1119.6000000000017,-0.03289473684210512,16092.0,76.0
Q-learning,1,96,-1119.8000000000018,-0.0037735849056603306,16145.0,53.0
Q-learning,1,97,-1122.1000000000017,-0.031081081081080947,16219.0,74.0
Q-learning,1,98,-1122.8000000000018,-0.012068965517241306,16277.0,58.0
Q-learning,1,99,-1125.8000000000018,-0.03703703703703688,16358.0,81.0
SARSA,0,0,-112.3999999999976,-0.09565957446808307,1175.0,1175.0
SARSA,0,1,-295.5999999999912,-0.09729155602761211,3058.0,1883.0
SARSA,0,2,-310.3999999999912,-0.07437185929648248,3257.0,199.0
SARSA,0,3,-529.1999999999828,-0.09772219740955407,5496.0,2239.0
SARSA,0,4,-548.1999999999829,-0.07883817427385921,5737.0,241.0
SARSA,0,5,-573.799999999983,-0.08338762214983766,6044.0,307.0
SARSA,0,6,-634.8999999999835,-0.09229607250755366,6706.0,662.0
SARSA,0,7,-681.899999999984,-0.09021113243762086,7227.0,521.0
SARSA,0,8,-683.1999999999839,-0.0203124999999999,7291.0,64.0
SARSA,0,9,-683.6999999999839,-0.008928571428571366,7347.0,56.0
SARSA,0,10,-682.0999999999839,0.045714285714285666,7382.0,35.0
SARSA,0,11,-679.8999999999838,0.0758620689655172,7411.0,29.0
SARSA,0,12,-676.9999999999839,0.1318181818181818,7433.0,22.0
SARSA,0,13,-674.5999999999839,0.08888888888888885,7460.0,27.0
SARSA,0,14,-675.1999999999839,-0.010526315789473616,7517.0,57.0
SARSA,0,15,-675.2999999999839,-0.001923076923076882,7569.0,52.0
SARSA,0,16,-676.399999999984,-0.017741935483870878,7631.0,62.0
SARSA,0,17,-674.899999999984,0.041666666666666616,7667.0,36.0
SARSA,0,18,-675.899999999984,-0.016393442622950734,7728.0,61.0
SARSA,0,19,-673.6999999999839,0.0758620689655172,7757.0,29.0
SARSA,0,20,-671.899999999984,0.0545454545454545,7790.0,33.0
SARSA,0,21,-670.599999999984,0.03421052631578942,7828.0,38.0
SARSA,0,22,-668.299999999984,0.0821428571428571,7856.0,28.0
SARSA,0,23,-670.3999999999841,-0.02916666666666654,7928.0,72.0
SARSA,0,24,-673.4999999999841,-0.037804878048780334,8010.0,82.0
SARSA,0,25,-671.799999999984,0.049999999999999954,8044.0,34.0
SARSA,0,26,-669.799999999984,0.06451612903225802,8075.0,31.0
SARSA,0,27,-667.8999999999841,0.059374999999999956,8107.0,32.0
SARSA,0,28,-665.5999999999841,0.0821428571428571,8135.0,28.0
SARSA,0,29,-663.2999999999842,0.0821428571428571,8163.0,28.0
SARSA,0,30,-660.7999999999842,0.09615384615384612,8189.0,26.0
SARSA,0,31,-659.1999999999841,0.045714285714285666,8224.0,35.0
SARSA,0,32,-657.6999999999841,0.041666666666666616,8260.0,36.0
SARSA,0,33,-655.5999999999841,0.06999999999999997,8290.0,30.0
SARSA,0,34,-654.1999999999841,0.037837837837837784,8327.0,37.0
SARSA,0,35,-652.2999999999842,0.059374999999999956,8359.0,32.0
SARSA,0,36,-650.2999999999842,0.06451612903225802,8390.0,31.0
SARSA,0,37,-648.7999999999842,0.041666666666666616,8426.0,36.0
SARSA,0,38,-646.8999999999842,0.059374999999999956,8458.0,32.0
SARSA,0,39,-644.3999999999842,0.09615384615384612,8484.0,26.0
SARSA,0,40,-643.5999999999842,0.018604651162790673,8527.0,43.0
SARSA,0,41,-641.9999999999842,0.045714285714285666,8562.0,35.0
SARSA,0,42,-639.0999999999842,0.1318181818181818,8584.0,22.0
SARSA,0,43,-636.9999999999842,0.06999999999999997,8614.0,30.0
SARSA,0,44,-634.9999999999842,0.06451612903225802,8645.0,31.0
SARSA,0,45,-633.1999999999842,0.0545454545454545,8678.0,33.0
SARSA,0,46,-630.6999999999842,0.09615384615384612,8704.0,26.0
SARSA,0,47,-628.6999999999842,0.06451612903225802,8735.0,31.0
SARSA,0,48,-626.1999999999842,0.09615384615384612,8761.0,26.0
SARSA,0,49,-624.5999999999842,0.045714285714285666,8796.0,35.0
SARSA,0,50,-622.5999999999842,0.06451612903225802,8827.0,31.0
SARSA,0,51,-620.5999999999842,0.06451612903225802,8858.0,31.0
SARSA,0,52,-625.6999999999842,-0.0499999999999998,8960.0,102.0
SARSA,0,53,-624.5999999999842,0.027499999999999948,9000.0,40.0
SARSA,0,54,-626.0999999999842,-0.02272727272727262,9066.0,66.0
SARSA,0,55,-624.9999999999842,0.027499999999999948,9106.0,40.0
SARSA,0,56,-623.0999999999842,0.059374999999999956,9138.0,32.0
SARSA,0,57,-620.3999999999842,0.11249999999999998,9162.0,24.0
SARSA,0,58,-621.1999999999841,-0.013559322033898227,9221.0,59.0
SARSA,0,59,-618.7999999999842,0.08888888888888885,9248.0,27.0
SARSA,0,60,-616.2999999999842,0.09615384615384612,9274.0,26.0
SARSA,0,61,-613.8999999999842,0.08888888888888885,9301.0,27.0
SARSA,0,62,-611.3999999999842,0.09615384615384612,9327.0,26.0
SARSA,0,63,-608.9999999999842,0.08888888888888885,9354.0,27.0
SARSA,0,64,-607.0999999999842,0.059374999999999956,9386.0,32.0
SARSA,0,65,-604.7999999999843,0.0821428571428571,9414.0,28.0
SARSA,0,66,-602.3999999999843,0.08888888888888885,9441.0,27.0
SARSA,0,67,-602.8999999999843,-0.008928571428571366,9497.0,56.0
SARSA,0,68,-600.3999999999843,0.09615384615384612,9523.0,26.0
SARSA,0,69,-598.3999999999843,0.06451612903225802,9554.0,31.0
SARSA,0,70,-595.8999999999843,0.09615384615384612,9580.0,26.0
SARSA,0,71,-593.3999999999843,0.09615384615384612,9606.0,26.0
SARSA,0,72,-591.1999999999842,0.0758620689655172,9635.0,29.0
SARSA,0,73,-588.6999999999842,0.09615384615384612,9661.0,26.0
SARSA,0,74,-586.3999999999843,0.0821428571428571,9689.0,28.0
SARSA,0,75,-583.8999999999843,0.09615384615384612,9715.0,26.0
SARSA,0,76,-582.5999999999843,0.03421052631578942,9753.0,38.0
SARSA,0,77,-583.5999999999843,-0.016393442622950734,9814.0,61.0
SARSA,0,78,-582.2999999999844,0.03421052631578942,9852.0,38.0
SARSA,0,79,-580.3999999999844,0.059374999999999956,9884.0,32.0
SARSA,0,80,-578.0999999999844,0.0821428571428571,9912.0,28.0
SARSA,0,81,-575.7999999999845,0.0821428571428571,9940.0,28.0
SARSA,0,82,-573.7999999999845,0.06451612903225802,9971.0,31.0
SARSA,0,83,-572.1999999999845,0.045714285714285666,10006.0,35.0
SARSA,0,84,-569.8999999999845,0.0821428571428571,10034.0,28.0
SARSA,0,85,-567.0999999999846,0.12173913043478259,10057.0,23.0
SARSA,0,86,-565.1999999999846,0.059374999999999956,10089.0,32.0
SARSA,0,87,-562.7999999999846,0.08888888888888885,10116.0,27.0
SARSA,0,88,-564.2999999999846,-0.02272727272727262,10182.0,66.0
SARSA,0,89,-561.9999999999847,0.0821428571428571,10210.0,28.0
SARSA,0,90,-559.6999999999847,0.0821428571428571,10238.0,28.0
SARSA,0,91,-557.7999999999847,0.059374999999999956,10270.0,32.0
SARSA,0,92,-555.6999999999847,0.06999999999999997,10300.0,30.0
SARSA,0,93,-553.5999999999847,0.06999999999999997,10330.0,30.0
SARSA,0,94,-551.6999999999847,0.059374999999999956,10362.0,32.0
SARSA,0,95,-551.5999999999847,0.0020000000000000282,10412.0,50.0
SARSA,0,96,-549.2999999999847,0.0821428571428571,10440.0,28.0
SARSA,0,97,-546.7999999999847,0.09615384615384612,10466.0,26.0
SARSA,0,98,-544.7999999999847,0.06451612903225802,10497.0,31.0
SARSA,0,99,-544.3999999999847,0.008510638297872348,10544.0,47.0
SARSA,1,0,-44.50000000000043,-0.08971774193548475,496.0,496.0
SARSA,1,1,-49.80000000000041,-0.05096153846153827,600.0,104.0
SARSA,1,2,-163.39999999999793,-0.09570345408592884,1787.0,1187.0
SARSA,1,3,-174.5999999999979,-0.06871165644171755,1950.0,163.0
SARSA,1,4,-186.69999999999786,-0.07034883720930217,2122.0,172.0
SARSA,1,5,-231.3999999999983,-0.0897590361445792,2620.0,498.0
SARSA,1,6,-299.19999999999845,-0.09300411522633764,3349.0,729.0
SARSA,1,7,-313.7999999999985,-0.0741116751269036,3546.0,197.0
SARSA,1,8,-324.09999999999843,-0.06688311688311663,3700.0,154.0
SARSA,1,9,-326.7999999999984,-0.03461538461538447,3778.0,78.0
SARSA,1,10,-331.1999999999984,-0.046315789473684026,3873.0,95.0
SARSA,1,11,-330.6999999999984,0.010869565217391304,3919.0,46.0
SARSA,1,12,-328.6999999999984,0.06451612903225802,3950.0,31.0
SARSA,1,13,-326.5999999999984,0.06999999999999997,3980.0,30.0
SARSA,1,14,-324.99999999999835,0.045714285714285666,4015.0,35.0
SARSA,1,15,-322.99999999999835,0.06451612903225802,4046.0,31.0
SARSA,1,16,-321.0999999999984,0.059374999999999956,4078.0,32.0
SARSA,1,17,-319.5999999999984,0.041666666666666616,4114.0,36.0
SARSA,1,18,-318.0999999999984,0.041666666666666616,4150.0,36.0
SARSA,1,19,-316.5999999999984,0.041666666666666616,4186.0,36.0
SARSA,1,20,-314.6999999999984,0.059374999999999956,4218.0,32.0
SARSA,1,21,-313.3999999999984,0.03421052631578942,4256.0,38.0
SARSA,1,22,-311.0999999999984,0.0821428571428571,4284.0,28.0
SARSA,1,23,-309.0999999999984,0.06451612903225802,4315.0,31.0
SARSA,1,24,-306.79999999999836,0.0821428571428571,4343.0,28.0
SARSA,1,25,-310.29999999999836,-0.04069767441860449,4429.0,86.0
SARSA,1,26,-308.8999999999984,0.037837837837837784,4466.0,37.0
SARSA,1,27,-306.5999999999984,0.0821428571428571,4494.0,28.0
SARSA,1,28,-304.6999999999984,0.059374999999999956,4526.0,32.0
SARSA,1,29,-302.9999999999984,0.049999999999999954,4560.0,34.0
SARSA,1,30,-300.6999999999984,0.0821428571428571,4588.0,28.0
SARSA,1,31,-298.6999999999984,0.06451612903225802,4619.0,31.0
SARSA,1,32,-296.5999999999984,0.06999999999999997,4649.0,30.0
SARSA,1,33,-294.79999999999836,0.0545454545454545,4682.0,33.0
SARSA,1,34,-293.29999999999836,0.041666666666666616,4718.0,36.0
SARSA,1,35,-290.8999999999984,0.08888888888888885,4745.0,27.0
SARSA,1,36,-288.5999999999984,0.0821428571428571,4773.0,28.0
SARSA,1,37,-286.49999999999835,0.06999999999999997,4803.0,30.0
SARSA,1,38,-287.79999999999836,-0.0203124999999999,4867.0,64.0
SARSA,1,39,-285.49999999999835,0.0821428571428571,4895.0,28.0
SARSA,1,40,-283.49999999999835,0.06451612903225802,4926.0,31.0
SARSA,1,41,-281.39999999999833,0.06999999999999997,4956.0,30.0
SARSA,1,42,-279.89999999999833,0.041666666666666616,4992.0,36.0
SARSA,1,43,-277.89999999999833,0.06451612903225802,5023.0,31.0
SARSA,1,44,-276.0999999999983,0.0545454545454545,5056.0,33.0
SARSA,1,45,-274.2999999999983,0.0545454545454545,5089.0,33.0
SARSA,1,46,-271.9999999999983,0.0821428571428571,5117.0,28.0
SARSA,1,47,-269.8999999999983,0.06999999999999997,5147.0,30.0
SARSA,1,48,-268.3999999999983,0.041666666666666616,5183.0,36.0
SARSA,1,49,-266.29999999999825,0.06999999999999997,5213.0,30.0
SARSA,1,50,-264.6999999999982,0.045714285714285666,5248.0,35.0
SARSA,1,51,-263.0999999999982,0.045714285714285666,5283.0,35.0
SARSA,1,52,-281.8999999999983,-0.07866108786610908,5522.0,239.0
SARSA,1,53,-280.09999999999826,0.0545454545454545,5555.0,33.0
SARSA,1,54,-277.59999999999826,0.09615384615384612,5581.0,26.0
SARSA,1,55,-275.8999999999983,0.049999999999999954,5615.0,34.0
SARSA,1,56,-273.59999999999826,0.0821428571428571,5643.0,28.0
SARSA,1,57,-272.1999999999983,0.037837837837837784,5680.0,37.0
SARSA,1,58,-270.09999999999826,0.06999999999999997,5710.0,30.0
SARSA,1,59,-267.79999999999825,0.0821428571428571,5738.0,28.0
SARSA,1,60,-266.1999999999982,0.045714285714285666,5773.0,35.0
SARSA,1,61,-263.8999999999982,0.0821428571428571,5801.0,28.0
SARSA,1,62,-262.1999999999982,0.049999999999999954,5835.0,34.0
SARSA,1,63,-260.29999999999825,0.059374999999999956,5867.0,32.0
SARSA,1,64,-258.1999999999982,0.06999999999999997,5897.0,30.0
SARSA,1,65,-256.0999999999982,0.06999999999999997,5927.0,30.0
SARSA,1,66,-253.89999999999822,0.0758620689655172,5956.0,29.0
SARSA,1,67,-251.79999999999822,0.06999999999999997,5986.0,30.0
SARSA,1,68,-249.69999999999823,0.06999999999999997,6016.0,30.0
SARSA,1,69,-247.89999999999822,0.0545454545454545,6049.0,33.0
SARSA,1,70,-245.79999999999822,0.06999999999999997,6079.0,30.0
SARSA,1,71,-243.89999999999822,0.059374999999999956,6111.0,32.0
SARSA,1,72,-241.5999999999982,0.0821428571428571,6139.0,28.0
SARSA,1,73,-240.0999999999982,0.041666666666666616,6175.0,36.0
SARSA,1,74,-237.7999999999982,0.0821428571428571,6203.0,28.0
SARSA,1,75,-236.0999999999982,0.049999999999999954,6237.0,34.0
SARSA,1,76,-234.1999999999982,0.059374999999999956,6269.0,32.0
SARSA,1,77,-232.2999999999982,0.059374999999999956,6301.0,32.0
SARSA,1,78,-230.1999999999982,0.06999999999999997,6331.0,30.0
SARSA,1,79,-227.9999999999982,0.0758620689655172,6360.0,29.0
SARSA,1,80,-225.79999999999822,0.0758620689655172,6389.0,29.0
SARSA,1,81,-223.89999999999822,0.059374999999999956,6421.0,32.0
SARSA,1,82,-221.5999999999982,0.0821428571428571,6449.0,28.0
SARSA,1,83,-221.2999999999982,0.006250000000000015,6497.0,48.0
SARSA,1,84,-219.2999999999982,0.06451612903225802,6528.0,31.0
SARSA,1,85,-218.1999999999982,0.027499999999999948,6568.0,40.0
SARSA,1,86,-216.0999999999982,0.06999999999999997,6598.0,30.0
SARSA,1,87,-213.7999999999982,0.0821428571428571,6626.0,28.0
SARSA,1,88,-211.6999999999982,0.06999999999999997,6656.0,30.0
SARSA,1,89,-209.4999999999982,0.0758620689655172,6685.0,29.0
SARSA,1,90,-208.29999999999822,0.030769230769230715,6724.0,39.0
SARSA,1,91,-207.4999999999982,0.018604651162790673,6767.0,43.0
SARSA,1,92,-205.1999999999982,0.0821428571428571,6795.0,28.0
SARSA,1,93,-203.0999999999982,0.06999999999999997,6825.0,30.0
SARSA,1,94,-200.7999999999982,0.0821428571428571,6853.0,28.0
SARSA,1,95,-198.7999999999982,0.06451612903225802,6884.0,31.0
SARSA,1,96,-197.2999999999982,0.041666666666666616,6920.0,36.0
SARSA,1,97,-195.3999999999982,0.059374999999999956,6952.0,32.0
SARSA,1,98,-193.49999999999818,0.059374999999999956,6984.0,32.0
SARSA,1,99,-191.7999999999982,0.049999999999999954,7018.0,34.0
